Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,HUDMedianIncomeAmount,TotalMonthlyIncomeAmount,LTVRatioPercent,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,PropertyUsageType,PropertyUnitCount,PropertyType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,Borrower1SexType,Borrower2SexType,Borrower1Race1Type,Borrower2Race1Type,EmploymentBorrowerSelfEmployed,min_credit_score,avg_age
2024,2823511,Dallas,28,033,32820,14.57,103549,78701,84000,8054,90,7,321300,33.37,34.29,4,5,25,1,01,0,360,360,01,1,1,PT07,2,1,25,24,1,2,5,5,0,4,24.5
2024,2823512,Dallas,48,441,10180,27.248,128019,76762,85600,8201,80,6.875,231920,26.02,34.57,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,24,NA,2,NA,5,8,0,4,24
2024,2823513,Dallas,48,441,10180,35.747,62031,76762,85600,10000,80,7.625,298000,30.62,49.53,3,3,0,1,01,0,360,360,01,1,1,PT01,2,0,55,51,1,2,5,5,0,3,53
2024,2823514,Dallas,48,209,12420,18.47,115337,115204,126000,20248,13,6.625,170000,10.58,28.39,4,3,0,6,01,0,360,360,01,1,1,PT01,2,0,63,61,1,2,5,5,0,3,62
2024,2823515,Dallas,48,439,19100,15.505,205074,99957,107300,20112,66,6.875,418000,21.6,32.77,5,5,0,1,01,0,360,360,01,1,1,PT01,2,0,44,47,2,1,5,5,0,5,45.5
2024,2823516,Dallas,48,439,19100,40.319,129336,99957,107300,19535,80,7.125,471200,23.01,25.11,5,5,0,1,01,0,360,360,01,1,1,PT01,2,1,32,33,1,2,5,5,0,5,32.5
2024,2823517,Dallas,48,041,17780,20.715,116172,82943,93400,20765,75,6.875,645000,25.85,31.09,5,5,0,1,01,0,360,360,01,1,1,PT07,2,1,61,63,2,1,5,5,0,5,62
2024,2823518,Dallas,48,085,19100,27.742,164946,99957,107300,4491,18,6.625,75000,32.39,36.82,5,NA,0,1,01,0,360,360,01,1,1,PT07,1,0,75,NA,1,NA,5,8,0,5,75
2024,2823519,Dallas,48,029,41700,66.178,82536,78703,89100,9882,93,7,300000,30.2,46.66,5,5,30,1,01,0,360,360,01,1,1,PT07,2,0,47,46,2,NA,2,5,0,5,46.5
2024,2823520,Dallas,48,439,19100,47.487,74838,91127,102700,13418,85,7.875,400000,29.63,39.34,4,3,15,1,01,0,360,360,01,1,1,PT01,2,0,31,32,1,2,5,5,0,3,31.5
2024,2823521,Dallas,48,355,18580,67.469,89083,72110,77400,8908,90,7.375,180000,22.68,48.5,3,3,25,1,01,0,360,360,01,1,1,PT01,2,1,30,31,1,2,5,5,0,3,30.5
2024,2823522,Dallas,48,187,41700,44.242,93798,85469,89300,8217,80,7.5,208000,20.57,21.75,5,4,0,1,01,0,360,360,01,1,1,PT07,2,1,32,32,1,2,5,5,0,4,32
2024,2823523,Dallas,48,303,31180,27.108,105365,80497,85800,10302,80,7,200000,17.6,44.3,5,4,0,1,01,0,360,360,01,1,1,PT01,2,0,33,33,2,1,5,5,0,4,33
2024,2823524,Dallas,48,303,31180,29.754,146823,80497,85800,17899,95,7.5,451250,24.98,38.61,3,NA,30,1,01,0,360,360,01,1,1,PT01,1,1,31,NA,1,NA,3,8,0,3,31
2024,2823525,Dallas,48,303,31180,29.031,88716,80497,85800,8834,80,7.125,229000,21.32,30.36,4,4,0,1,01,0,360,360,01,1,1,PT01,2,0,45,45,1,2,5,5,0,4,45
2024,2823526,Dallas,48,303,31180,0,0,0,85800,21667,90,7.5,175689,15.65,42.28,4,NA,25,1,01,0,360,360,01,2,1,PT01,1,0,38,NA,1,NA,5,8,0,4,38
2024,2823527,Dallas,48,303,31180,61.888,80039,80497,85800,12124,95,7.125,308750,22.7,23.04,5,5,30,1,01,0,360,360,01,1,1,PT01,2,1,39,38,2,1,5,5,0,5,38.5
2024,2823529,Dallas,48,367,19100,18.771,121138,99957,107300,13726,84,7.375,250000,15.61,47.81,4,5,12,1,01,0,360,360,01,2,1,PT01,2,0,48,46,2,1,5,5,0,4,47
2024,2823530,Dallas,48,381,11100,40.233,103841,82962,87600,12231,95,6.875,304950,22.16,24.16,5,NA,30,1,01,0,360,360,01,1,1,PT01,1,1,62,NA,1,NA,3,8,0,5,62
2024,2823531,Dallas,48,111,99999,62.265,88023,88065,93500,3800,89,7.125,110450,26.43,27.48,3,NA,12,1,01,0,360,360,01,1,1,PT01,1,1,34,NA,1,NA,5,8,0,3,34
2024,2823532,Dallas,48,303,31180,64.103,85068,80497,85800,11941,80,6.75,113600,10.9,25.79,5,4,0,1,01,0,360,360,01,2,1,PT01,2,0,41,37,1,2,1,1,0,4,39
2024,2823533,Dallas,48,309,47380,90.491,22841,77527,83100,5795,95,6.375,57000,10.06,23.02,4,NA,30,1,01,0,360,360,01,1,2,PT04,1,0,58,NA,NA,NA,NA,8,0,4,58
2024,2823534,Dallas,48,497,19100,16.841,106587,99957,107300,15303,80,6.875,542000,28.32,35.55,5,5,0,2,01,0,360,360,01,1,1,PT01,2,0,47,46,1,2,5,5,0,5,46.5
2024,2823535,Dallas,48,049,15220,18.361,82137,71129,75000,26315,80,6.875,460000,15.71,43.44,4,4,0,1,01,0,360,360,01,1,1,PT01,2,0,40,51,2,2,5,5,0,4,45.5
2024,2823536,Dallas,48,113,19100,88.962,42217,99957,107300,4749,34,7,110000,25.45,44.84,4,4,0,6,01,0,360,360,01,1,1,PT01,2,0,41,20,1,1,5,5,1,4,30.5
