Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2024,2860710,Cincinnati,47,165,34980,0207.00,30,58140,96905,3814,104700,171500,73,2024,2024,6,01,0,360,360,01,2,0,5,5,1,2,70,69,1,1,6.625,171500,35,35,5,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860711,Cincinnati,21,111,31140,0103.21,27,160335,88819,9286,95900,260000,50,2024,2024,1,01,0,360,360,01,1,0,5,8,1,4,53,998,1,1,6.625,260000,25,26,5,9,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860712,Cincinnati,18,043,31140,0710.05,12,143693,88819,12851,95900,225000,51,2024,2024,6,01,0,180,180,01,2,0,6,6,3,3,43,43,1,1,6,225000,19,30,5,5,0,0,PT07,99,9999,9999-12-31,3,6,6,6,6,3,6,6,6,6,2,1
2024,2860713,Cincinnati,39,061,17140,0214.21,12,94453,97826,6061,103700,227000,80,2024,2024,1,01,0,360,360,01,1,1,5,8,1,4,27,998,1,1,6.5,227000,32,37,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860714,Cincinnati,21,067,30460,0039.06,17,128456,89904,13287,95200,315000,76,2024,2024,1,01,0,360,360,01,2,0,5,5,2,2,37,35,1,1,6.25,315000,19,27,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860715,Cincinnati,39,097,18140,0401.01,17,109145,97262,19309,103300,501660,80,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,72,69,1,1,6.875,501660,23,41,4,4,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860716,Cincinnati,47,167,32820,0406.02,27,97988,78701,18337,84000,180000,75,2024,2024,1,01,0,360,360,01,1,0,5,8,1,4,60,998,2,1,7.125,180000,8,36,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,3,1
2024,2860717,Cincinnati,39,035,17460,1841.08,37,146875,90488,22442,97200,348000,80,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,36,37,1,1,6.875,348000,14,21,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860718,Cincinnati,21,101,21780,0207.01,16,77500,71953,22870,81400,260700,47,2024,2024,2,01,0,180,180,01,2,0,5,5,1,2,55,53,1,1,5.5,260700,20,29,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860719,Cincinnati,39,165,17140,0320.04,30,166636,97826,9519,103700,396400,80,2024,2024,1,01,0,360,360,01,2,1,2,6,1,1,37,62,1,1,6.875,396400,34,41,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
